T,loc,demand,price
0,Acapulco de Juárez,303432563.9375,20.21331082822492
0,Aguascalientes,516653936.0,19.351109968843115
0,Aguascalientes_aggregate(10),168237168.34375,19.46701867188446
0,Ahome,292976878.9375,18.787650640178263
0,Apodaca,390426324.5625,18.493900199116528
0,Bahía de Banderas,50404402.3125,18.175606692609556
0,Baja California Sur_aggregate(5),507593890.125,20.18147733561973
0,Baja California_aggregate(5),1173651297.25,17.979338040275252
0,Benito Juárez,678884258.0,19.24620619201833
0,Cajeme,247882280.5625,17.954910739313963
0,Campeche,131649315.1875,18.393760553653983
0,Campeche_aggregate(10),102410572.21875,18.54875035275814
0,Carmen,106700604.34375,18.736133160903734
0,Celaya,248576443.25,18.624140488199217
0,Centro,278909787.25,17.27825666328297
0,Chiapas_aggregate(101),747342308.5,18.346983565057393
0,Chihuahua,642943654.125,16.677052879442584
0,Chihuahua_aggregate(31),582721229.75,17.7140029081379
0,Chilpancingo de los Bravo,111928379.875,19.05342062440158
0,Ciudad de México_aggregate(14),3482082555.0,19.54521903074767
0,Coahuila de Zaragoza_aggregate(27),534297936.25,18.698188791778314
0,Colima_aggregate(10),1628811762.0,17.911499056025743
0,Cuautla,91077873.796875,17.33462266063291
0,Cuernavaca,201244195.59375,18.040336648637982
0,Culiacán,708969923.125,18.611184367094097
0,Cárdenas,73668227.578125,17.410773723637917
0,Durango,647220109.625,18.54977282775738
0,Durango_aggregate(26),407915676.5625,19.70113925236553
0,Ecatepec de Morelos,542472645.875,17.53588533138097
0,Fresnillo,76858713.46875,18.82841521240012
0,Guadalajara,538736725.875,18.893147737317545
0,Guadalupe,378411840.9375,19.87477334733012
0,Guanajuato_aggregate(39),1051943129.25,18.372461029313577
0,Guerrero_aggregate(66),515897270.625,20.01372013585572
0,Gustavo A. Madero,665018179.625,19.54782584539429
0,Gómez Palacio,323595741.9375,19.061899576407395
0,Hermosillo,567642664.625,18.18999958049116
0,Hidalgo_aggregate(58),1637874774.25,18.744133955341166
0,Irapuato,289409711.9375,19.437861940030448
0,Iztapalapa,1051172577.75,19.48790716127931
0,Jalisco_aggregate(106),1749523613.0,18.732728319767592
0,Jiutepec,114529078.96875,17.309775759447785
0,Juárez,1033408680.75,16.576935487176105
0,León,905355889.0,19.317095931211416
0,Matamoros,394273058.25,16.791584297274785
0,Mazatlán,376968834.4375,19.213090471212173
0,Michoacán de Ocampo_aggregate(102),1401478847.25,18.322878778472198
0,Monterrey,679574230.75,19.99084291775664
0,Morelia,431363060.375,18.760632408931627
0,Morelos_aggregate(32),487264138.75,17.37284935590481
0,Mérida,955389964.0,19.80014515422546
0,México_aggregate(117),4238007290.0,18.136148787432756
0,Nayarit_aggregate(17),99480273.515625,17.951816391564357
0,Nogales,161648854.71875,18.419490864340794
0,Nuevo Laredo,324155396.8125,16.9569094526065
0,Nuevo León_aggregate(33),1855398891.5,18.968276507770682
0,Oaxaca de Juárez,128029140.90625,19.093214382477033
0,Oaxaca_aggregate(159),874189869.75,18.628447126414798
0,Pachuca de Soto,336433442.1875,17.35704148083208
0,Puebla,599186577.0,17.046099199191822
0,Puebla_aggregate(137),1198174031.25,18.66391524855777
0,Querétaro,559860576.5,18.708983617132745
0,Querétaro_aggregate(12),339052592.25,17.779745957533496
0,Quintana Roo_aggregate(9),326702855.5625,19.43868837800017
0,Reynosa,528151338.25,16.793543870043855
0,Saltillo,342207242.5625,17.85879460200462
0,San Juan del Río,134284142.875,17.137342322769133
0,San Luis Potosí,482735810.625,19.076882491936924
0,San Luis Potosí_aggregate(40),391651964.25,17.888589616527444
0,Sinaloa_aggregate(15),447689442.75,19.70355445561714
0,Soledad de Graciano Sánchez,180425002.34375,18.3215059151878
0,Solidaridad,245841085.125,19.512645269700947
0,Sonora_aggregate(30),610958188.875,19.559412335674583
0,Tabasco_aggregate(15),337517635.8125,17.492223177883258
0,Tamaulipas_aggregate(26),931989843.75,16.56466311210828
0,Tepic,115807651.96875,17.968713730153322
0,Tijuana,1344867245.0,17.638822330812864
0,Tlaxcala_aggregate(57),592531164.5,18.59875927508131
0,Torreón,281499575.5,18.892391953164818
0,Tuxtla Gutiérrez,208503914.0625,18.544321500367232
