T,plant,state,available,expansion,capacity,production,init_inventory,inventory,switch_cost,layoff_cost,capex,costs,revenues,ebitda,depreciation,nopat,fcf_wo_nwc,utilization
0,Cadereyta Refinery,0.0,1.0,0.0,3907295620.1251163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Cangrejera Refinery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
0,Dos Bocas Refinery,0.0,0.0,0.0,12341100896.666655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Madero Refinery,0.0,1.0,0.0,2348088822.765809,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0,Minatitlan Refinery,0.0,1.0,1.0,2404086219.902904,0.0,0.0,0.0,0.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,-10000000000.0,0.0
0,Salamanca Refinery,0.0,1.0,1.0,2135134402.9121587,0.0,0.0,0.0,0.0,0.0,15000000000.0,0.0,0.0,0.0,0.0,0.0,-15000000000.0,0.0
0,Salina Cruz Refinery,0.0,1.0,1.0,3329803219.0744677,0.0,0.0,0.0,0.0,0.0,10000000000.0,0.0,0.0,0.0,0.0,0.0,-10000000000.0,0.0
0,Tula Refinery,0.0,1.0,0.0,2520530121.2901254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Cadereyta Refinery,0.0,0.0,0.0,3907295620.1251163,0.000105543902076025,0.0,0.000105543902076025,0.0,0.0,0.0,0.0005235487578504621,0.0,-0.0005235487578504621,0.0,-0.0003403066926028003,-0.0003403066926028003,2.7012008390766542e-14
1,Cangrejera Refinery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1,Dos Bocas Refinery,0.0,0.0,0.0,12341100896.666655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,Madero Refinery,1.0,0.0,0.0,2348088822.765809,2348088822.76581,0.0,193493601.87105322,32265600.3118604,0.0,0.0,11897513420.403378,45614600312.42378,4061545017.249195,0.0,2640004261.211977,2640004261.211977,1.0000000000000004
1,Minatitlan Refinery,1.0,0.0,0.0,2404086219.902904,3606129329.85436,0.0,198096127.66325665,33032687.9438754,0.0,0.0,19281710371.61793,70391957458.69353,4202563287.3232117,1000000000.0,2081666136.7600877,3081666136.760088,1.5000000000000018
1,Salamanca Refinery,1.0,0.0,0.0,2135134402.9121587,3202701604.36824,0.0,175990498.86949205,29348416.478248753,0.0,0.0,14834812323.11343,63995363576.48187,7501330504.387886,1500000000.0,3900864827.852126,5400864827.852126,1.5000000000000009
1,Salina Cruz Refinery,1.0,0.0,0.0,3329803219.0744677,4994704828.6117,0.0,274182456.36228275,45713742.7270475,0.0,0.0,29815626928.027092,98527677943.08713,3739453135.2122116,1000000000.0,1780644537.8879375,2780644537.8879375,1.4999999999999996
1,Tula Refinery,1.0,0.0,0.0,2520530121.2901254,2520530121.29013,0.0,207666859.28412485,34627809.88068665,0.0,0.0,13888804566.309725,49760616870.23537,4037891643.6192474,0.0,2624629568.352511,2624629568.352511,1.000000000000002
2,Cadereyta Refinery,1.0,0.0,0.0,3907295620.1251163,3907295620.12519,0.0,321647585.2157669,53624597.535960495,0.0,0.0,27366900892.33908,78480492509.38205,1761242546.4416046,0.0,1144807655.187043,1144807655.187043,1.0000000000000189
2,Cangrejera Refinery,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,Dos Bocas Refinery,0.0,0.0,0.0,12341100896.666655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Madero Refinery,1.0,0.0,0.0,2348088822.765809,2348088822.76581,193493601.871162,193493601.87116194,0.0,0.0,0.0,12793849213.926323,53612937833.786316,8500328356.2517395,0.0,5525213431.563631,5525213431.563631,1.0000000000000004
2,Minatitlan Refinery,1.0,0.0,0.0,2404086219.902904,3606129329.85436,198096127.663252,198096127.66325188,0.0,0.0,0.0,20804228601.814293,82344210697.87425,11905731397.71949,1000000000.0,7088725408.517669,8088725408.517669,1.5000000000000018
2,Salamanca Refinery,1.0,0.0,0.0,2135134402.9121587,3202701604.36824,175990498.869493,175990498.8694849,0.0,0.0,0.0,16000244841.087011,71710824952.73169,11629051191.656967,1500000000.0,6583883274.577029,8083883274.577029,1.5000000000000009
2,Salina Cruz Refinery,1.0,0.0,0.0,3329803219.0744677,4994704828.6117,274182456.362285,274182456.36228275,0.0,0.0,0.0,32222778159.37647,111998290056.54022,11029105722.780334,1000000000.0,6518918719.807218,7518918719.807218,1.4999999999999996
2,Tula Refinery,1.0,0.0,0.0,2520530121.2901254,2520530121.29013,207666859.28412,207666859.28412914,0.0,0.0,0.0,14939394518.888855,57215193145.91614,7583580880.670151,0.0,4929327572.435598,4929327572.435598,1.000000000000002
3,Cadereyta Refinery,1.0,0.0,0.0,3918000539.6323085,3918000539.63224,321647585.215763,321647585.21576786,0.0,0.0,0.0,29587088535.74288,93335818573.22736,9821928408.272392,0.0,6384253465.377055,6384253465.377055,0.9999999999999825
